Tid;Kanal A
(ns);(V)

-3,99999989;1,42335100
-3,89999989;1,42532000
-3,79999989;1,42864200
-3,69999990;1,43221000
-3,59999990;1,43503900
-3,49999990;1,43534700
-3,39999990;1,43313200
-3,29999991;1,42981100
-3,19999991;1,42642700
-3,09999991;1,42384400
-2,99999992;1,42267500
-2,89999992;1,42279800
-2,79999992;1,42378200
-2,69999992;1,42464300
-2,59999993;1,42452000
-2,49999993;1,42187500
-2,39999993;1,41707700
-2,29999993;1,41178600
-2,19999994;1,40729600
-2,09999994;1,40471200
-1,99999994;1,40471200
-1,89999995;1,40729600
-1,79999995;1,41178600
-1,69999995;1,41707700
-1,59999995;1,42187500
-1,49999996;1,42452000
-1,39999996;1,42464300
-1,29999996;1,42372000
-1,19999997;1,42273600
-1,09999997;1,42261300
-0,99999997;1,42390500
-0,89999997;1,42661200
-0,79999998;1,43024100
-0,69999998;1,43387100
-0,59999998;1,43645400
-0,49999999;1,43645400
-0,39999999;1,43387100
-0,29999999;1,43024100
-0,19999999;1,42655000
-0,10000000;1,42390500
0,00000000;1,42267500
0,10000000;1,42298200
0,19999999;1,42415100
0,29999999;1,42538100
0,39999999;1,42562700
0,49999999;1,42335100
0,59999998;1,41867600
0,69999998;1,41338600
0,79999998;1,40858800
0,89999997;1,40526600
0,99999997;1,40409700
1,09999997;1,40495800
1,19999997;1,40735700
1,29999996;1,41024900
1,39999996;1,41246300
1,49999996;1,41246300
1,59999995;1,41024900
1,69999995;1,40735700
1,79999995;1,40495800
1,89999995;1,40409700
1,99999994;1,40526600
2,09999994;1,40858800
2,19999994;1,41338600
2,29999993;1,41867600
2,39999993;1,42335100
2,49999993;1,42562700
2,59999993;1,42538100
2,69999992;1,42421300
2,79999992;1,42298200
2,89999992;1,42273600
2,99999992;1,42384400
3,09999991;1,42636600
3,19999991;1,42974900
3,29999991;1,43307100
3,39999990;1,43534700
3,49999990;1,43503900
3,59999990;1,43221000
3,69999990;1,42864200
3,79999989;1,42532000
3,89999989;1,42335100
3,99999989;1,42329000
4,09999988;1,42507400
4,19999988;1,42815000
4,29999988;1,43147100
4,39999988;1,43393200
4,49999987;1,43393200
4,59999987;1,43147100
4,69999987;1,42815000
4,79999986;1,42513500
4,89999986;1,42335100
4,99999986;1,42335100
5,09999986;1,42513500
5,19999985;1,42815000
5,29999985;1,43147100
5,39999985;1,43393200
5,49999984;1,43393200
5,59999984;1,43147100
5,69999984;1,42815000
5,79999984;1,42513500
5,89999983;1,42335100
5,99999983;1,42335100
6,09999983;1,42513500
6,19999982;1,42815000
6,29999982;1,43147100
6,39999982;1,43393200
6,49999982;1,43393200
6,59999981;1,43147100
6,69999981;1,42815000
6,79999981;1,42513500
6,89999980;1,42335100
6,99999980;1,42335100
7,09999980;1,42513500
7,19999980;1,42815000
7,29999979;1,43147100
7,39999979;1,43393200
7,49999979;1,43393200
7,59999979;1,43147100
7,69999978;1,42815000
7,79999978;1,42507400
7,89999978;1,42329000
7,99999977;1,42335100
8,09999977;1,42532000
8,19999977;1,42864200
8,29999977;1,43221000
8,39999976;1,43503900
8,49999976;1,43534700
8,59999976;1,43313200
8,69999975;1,42981100
8,79999975;1,42642700
8,89999975;1,42384400
8,99999975;1,42267500
9,09999974;1,42279800
9,19999974;1,42378200
9,29999974;1,42464300
9,39999973;1,42452000
9,49999973;1,42187500
9,59999973;1,41707700
9,69999973;1,41178600
9,79999972;1,40729600
9,89999972;1,40471200
