Tid;Kanal A
(ns);(V)

-3,99999989;1,21739700
-3,89999989;1,21905800
-3,79999989;1,22194900
-3,69999990;1,22508600
-3,59999990;1,22754700
-3,49999990;1,22785400
-3,39999990;1,22594700
-3,29999991;1,22311800
-3,19999991;1,22022600
-3,09999991;1,21788900
-2,99999992;1,21672000
-2,89999992;1,21659700
-2,79999992;1,21708900
-2,69999992;1,21745800
-2,59999993;1,21696600
-2,49999993;1,21438200
-2,39999993;1,20989200
-2,29999993;1,20503200
-2,19999994;1,20103300
-2,09999994;1,19869600
-1,99999994;1,19869600
-1,89999995;1,20103300
-1,79999995;1,20503200
-1,69999995;1,20989200
-1,59999995;1,21438200
-1,49999996;1,21696600
-1,39999996;1,21745800
-1,29999996;1,21708900
-1,19999997;1,21659700
-1,09999997;1,21672000
-0,99999997;1,21788900
-0,89999997;1,22022600
-0,79999998;1,22311800
-0,69999998;1,22594700
-0,59999998;1,22785400
-0,49999999;1,22754700
-0,39999999;1,22508600
-0,29999999;1,22194900
-0,19999999;1,21911900
-0,10000000;1,21739700
0,00000000;1,21733500
0,10000000;1,21887300
0,19999999;1,22145700
0,29999999;1,22428600
0,39999999;1,22643900
0,49999999;1,22643900
0,59999998;1,22428600
0,69999998;1,22151800
0,79999998;1,21893500
0,89999997;1,21739700
0,99999997;1,21739700
1,09999997;1,21893500
1,19999997;1,22151800
1,29999996;1,22428600
1,39999996;1,22643900
1,49999996;1,22643900
1,59999995;1,22428600
1,69999995;1,22151800
1,79999995;1,21893500
1,89999995;1,21739700
1,99999994;1,21739700
2,09999994;1,21893500
2,19999994;1,22151800
2,29999993;1,22428600
2,39999993;1,22643900
2,49999993;1,22643900
2,59999993;1,22428600
2,69999992;1,22151800
2,79999992;1,21893500
2,89999992;1,21739700
2,99999992;1,21739700
3,09999991;1,21893500
3,19999991;1,22151800
3,29999991;1,22428600
3,39999990;1,22643900
3,49999990;1,22643900
3,59999990;1,22428600
3,69999990;1,22151800
3,79999989;1,21893500
3,89999989;1,21739700
3,99999989;1,21739700
4,09999988;1,21893500
4,19999988;1,22151800
4,29999988;1,22428600
4,39999988;1,22643900
4,49999987;1,22643900
4,59999987;1,22428600
4,69999987;1,22151800
4,79999986;1,21893500
4,89999986;1,21739700
4,99999986;1,21739700
5,09999986;1,21893500
5,19999985;1,22151800
5,29999985;1,22428600
5,39999985;1,22643900
5,49999984;1,22643900
5,59999984;1,22428600
5,69999984;1,22151800
5,79999984;1,21893500
5,89999983;1,21739700
5,99999983;1,21739700
6,09999983;1,21893500
6,19999982;1,22151800
6,29999982;1,22428600
6,39999982;1,22643900
6,49999982;1,22643900
6,59999981;1,22428600
6,69999981;1,22151800
6,79999981;1,21893500
6,89999980;1,21739700
6,99999980;1,21739700
7,09999980;1,21893500
7,19999980;1,22151800
7,29999979;1,22428600
7,39999979;1,22643900
7,49999979;1,22643900
7,59999979;1,22428600
7,69999978;1,22151800
7,79999978;1,21893500
7,89999978;1,21739700
7,99999977;1,21739700
8,09999977;1,21893500
8,19999977;1,22151800
8,29999977;1,22428600
8,39999976;1,22643900
8,49999976;1,22643900
8,59999976;1,22428600
8,69999975;1,22151800
8,79999975;1,21893500
8,89999975;1,21739700
8,99999975;1,21739700
9,09999974;1,21893500
9,19999974;1,22151800
9,29999974;1,22428600
9,39999973;1,22643900
9,49999973;1,22643900
9,59999973;1,22428600
9,69999973;1,22151800
9,79999972;1,21893500
9,89999972;1,21739700
