Tid;Kanal A
(ns);(V)

-3,99999989;0,66455460
-3,89999989;0,66461620
-3,79999989;0,66510830
-3,69999990;0,66563120
-3,59999990;0,66566190
-3,49999990;0,66452380
-3,39999990;0,66224780
-3,29999991;0,65969490
-3,19999991;0,65738800
-3,09999991;0,65578860
-2,99999992;0,65523500
-2,89999992;0,65569630
-2,79999992;0,65689590
-2,69999992;0,65840300
-2,59999993;0,65963330
-2,49999993;0,65978720
-2,39999993;0,65883370
-2,29999993;0,65748030
-2,19999994;0,65621920
-2,09999994;0,65545030
-1,99999994;0,65551180
-1,89999995;0,65634230
-1,79999995;0,65772630
-1,69999995;0,65923350
-1,59999995;0,66034080
-1,49999996;0,66034080
-1,39999996;0,65923350
-1,29999996;0,65772630
-1,19999997;0,65634230
-1,09999997;0,65551180
-0,99999997;0,65545030
-0,89999997;0,65621920
-0,79999998;0,65748030
-0,69999998;0,65883370
-0,59999998;0,65978720
-0,49999999;0,65963330
-0,39999999;0,65840300
-0,29999999;0,65689590
-0,19999999;0,65566560
-0,10000000;0,65520420
0,00000000;0,65581940
0,10000000;0,65748030
0,19999999;0,65991020
0,29999999;0,66264770
0,39999999;0,66507750
0,49999999;0,66636930
0,59999998;0,66646160
0,69999998;0,66593870
0,79999998;0,66529280
0,89999997;0,66483150
0,99999997;0,66480070
1,09999997;0,66516980
1,19999997;0,66572340
1,29999996;0,66606180
1,39999996;0,66581570
1,49999996;0,66433930
1,59999995;0,66181720
1,69999995;0,65911050
1,79999995;0,65686520
1,89999995;0,65557330
1,99999994;0,65551180
2,09999994;0,65674210
2,19999994;0,65886440
2,29999993;0,66141730
2,39999993;0,66378570
2,49999993;0,66507750
2,59999993;0,66523130
2,69999992;0,66492370
2,79999992;0,66455460
2,89999992;0,66452380
2,99999992;0,66513900
3,09999991;0,66633860
3,19999991;0,66793800
3,29999991;0,66947590
3,39999990;0,67052170
3,49999990;0,67036780
3,59999990;0,66904530
3,69999990;0,66735360
3,79999989;0,66581570
3,89999989;0,66489300
3,99999989;0,66486220
4,09999988;0,66569270
4,19999988;0,66710750
4,29999988;0,66864540
4,39999988;0,66981420
4,49999987;0,66981420
4,59999987;0,66864540
4,69999987;0,66710750
4,79999986;0,66569270
4,89999986;0,66486220
4,99999986;0,66489300
5,09999986;0,66581570
5,19999985;0,66735360
5,29999985;0,66904530
5,39999985;0,67036780
5,49999984;0,67052170
5,59999984;0,66947590
5,69999984;0,66793800
5,79999984;0,66633860
5,89999983;0,66510830
5,99999983;0,66455460
6,09999983;0,66464690
6,19999982;0,66513900
6,29999982;0,66563120
6,39999982;0,66566190
6,49999982;0,66452380
6,59999981;0,66224780
6,69999981;0,65969490
6,79999981;0,65738800
6,89999980;0,65578860
6,99999980;0,65523500
7,09999980;0,65569630
7,19999980;0,65689590
7,29999979;0,65840300
7,39999979;0,65963330
7,49999979;0,65978720
7,59999979;0,65883370
7,69999978;0,65748030
7,79999978;0,65621920
7,89999978;0,65545030
7,99999977;0,65551180
8,09999977;0,65634230
8,19999977;0,65772630
8,29999977;0,65923350
8,39999976;0,66034080
8,49999976;0,66034080
8,59999976;0,65923350
8,69999975;0,65772630
8,79999975;0,65634230
8,89999975;0,65551180
8,99999975;0,65545030
9,09999974;0,65621920
9,19999974;0,65748030
9,29999974;0,65883370
9,39999973;0,65978720
9,49999973;0,65963330
9,59999973;0,65840300
9,69999973;0,65689590
9,79999972;0,65569630
9,89999972;0,65523500
